,price,unit,interval_start,interval_end
0,4.5,100.0,4.5,0.0
1,4.2,100.0,4.2,4.5
2,3.92,200.0,3.92,4.2
3,3.66,200.0,3.66,3.92
4,3.41,500.0,3.41,3.66
5,3.18,600.0,3.18,3.41
6,2.97,900.0,2.97,3.18
7,2.77,900.0,2.77,2.97
8,2.58,900.0,2.58,2.77
9,2.41,1000.0,2.41,2.58
10,2.25,1000.0,2.25,2.41
11,2.1,1100.0,2.1,2.25
12,1.96,1300.0,1.96,2.1
13,1.83,1500.0,1.83,1.96
14,1.71,1800.0,1.71,1.83
15,1.6,1800.0,1.6,1.71
16,1.49,2000.0,1.49,1.6
17,1.39,2700.0,1.39,1.49
18,1.3,2700.0,1.3,1.39
19,1.21,3600.0,1.21,1.3
20,1.13,3600.0,1.13,1.21
21,1.05,4700.0,1.05,1.13
22,0.98,5600.0,0.98,1.05
23,0.91,5600.0,0.91,0.98
24,0.85,6000.0,0.85,0.91
25,0.79,6500.0,0.79,0.85
26,0.74,6900.0,0.74,0.79
27,0.69,7800.0,0.69,0.74
28,0.64,7800.0,0.64,0.69
29,0.6,8600.0,0.6,0.64
